New Terminal Output:
Sheet names: ['Task', 'Data']

=== TASK SHEET ===
Row  1: ['Protein Expression A', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  2: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  3: ['Instructions:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  4: ['Step 1: Fill yellow ', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  5: ['Step 2: Calculate st', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  6: ['Step 3: Calculate fo', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  7: ['Step 4: Identify top', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  8: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row  9: ['Sample Group:', '', 'Control', 'Control', 'Control', 'Control', 'Control', 'Treated', 'Treated', 'Treated', 'Treated', 'Treated', '', '', '']
Row 10: ['Protein_ID', 'Gene_Symbol', 'NCIH1568_LUNG_TenPx1', 'IPC298_SKIN_TenPx08', 'WM2664_SKIN_TenPx02', 'SNU1_STOMACH_TenPx20', 'TE6_OESOPHAGUS_TenPx', 'FUOV1_OVARY_TenPx16', 'LS513_LARGE_INTESTIN', 'THP1_HAEMATOPOIETIC_', 'SW48_LARGE_INTESTINE', 'NCIN87_STOMACH_TenPx', '', '', '']
Row 11: ['sp|Q9HCY8|S10AE_HUMA', 'S100A14', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 12: ['sp|Q96EN8|MOCOS_HUMA', 'MOCOS', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 13: ['sp|Q86UT8|CCD84_HUMA', 'CCDC84', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 14: ['sp|O96000|NDUBA_HUMA', 'NDUFB10', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 15: ['sp|Q86Y38|XYLT1_HUMA', 'XYLT1', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 16: ['sp|Q5SZL2|CE85L_HUMA', 'CEP85L', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 17: ['sp|Q9BQA1|MEP50_HUMA', 'WDR77', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 18: ['sp|Q9C0F1|CEP44_HUMA', 'CEP44', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 19: ['sp|Q9UH03|SEPT3_HUMA', 'SEPT3', '', '', '', '', '', '', '', '', '', '', '', '', '']
